1		Frido						57.039676513169375
2		Player 7						55.54875734448538
3		Melvin Doo 777						55.480968610709205
4		Nair^						55.178268444998565
5		NathanIWN						54.928217743502124
6		Firehao						54.67528089431395
7		Lord						54.64034839524864
8		Bakuryu						54.32747786409393
9		FSN | Danadan						54.30966103419144
10		Mitsu						54.20060500259598
11		Sekai Doggo						53.97584867662766
12		Phonix Wrong						53.163449216739025
13		JaZaR						53.055831394028004
14		Nalga						52.896249886666865
15		Keen						52.72981910796738
16		Lukingordex						52.56959934762603
17		GotM						52.49192403559564
18		Pollux						52.43744489082873
19		Gummy						52.34285680230398
20		ZanT						52.1698309947941
21		Spyro						52.02589879586326
22		Dannckles						51.89190388631822
23		Slade						51.846056456173045
24		RevoS						51.66494875084225
25		Lukin						51.53355274991464
26		Ghoul979						51.50700112007016
27		Dannckles						51.50553608914824
28		Javi						51.48030616906229
29		Marroll						51.45719442498789
30		Paco						51.40034095062343
31		Chag						51.34014376023014
32		THL Derek						51.29746262106148
33		Escurridizo						51.15534265102859
34		JR.						51.15508426874172
35		Kraken						50.85257340840032
36		Pineda						50.789297415313136
37		Malisker						50.7853225349836
38		xLone						50.75667398890463
39		Geova						50.7046748692116
40		Bratu						50.56534402346707
41		Nintendi						50.43165484134319
42		CM | Necro						50.39542593033645
43		Smashu						50.39270200230287
44		Storm						50.3844915417298
45		CruxisPhantom						50.38234823936945
46		Harlonga						50.36557886000644
47		CNTR | Pent						50.299566462188935
48		Jon						50.291966149362416
49		Dertolo						50.26228398254906
50		Tuxedo						50.11486459360738
51		Bubbles						50.101677497575906
52		DDC | Kenneth						50.079823963456874
53		Darkness						50.07413200401889
54		Felagund						50.07043273991995
55		SKPeter						50.06186653861834
56		Vieira						50.01387606524404
57		FuerzaDON						49.98048613435157
58		Skelldany						49.89287485797257
59		Polo						49.82410936071887
60		Lazerth						49.78477131297759
61		Toplus						49.750202459965294
62		Mashiz						49.736503685097915
63		Kowalski_023						49.63837485851349
64		NGS | Shura						49.587330578433495
65		ABRIL						49.54494131411581
66		Dh Hunter						49.47270261924212
67		Rody						49.41264989157921
68		Emp						49.37354446144795
69		Swain						49.2965686197808
70		Wise						49.27278624959429
71		SRK						49.21390214952562
72		Mister Leo						49.208103224072616
73		RIGONARDO						49.159457425008526
74		Ketzalo!						49.08645941663291
75		Snati						49.07708866284775
76		Cloudy						49.06295937197695
77		Kross						49.04887175767666
78		Danadan						49.03656907041069
79		Ariffo						48.93546771349527
80		Mauu						48.88180718995502
81		Sitock						48.86505863154621
82		Aster						48.844642720629324
83		FE | LMB | Peppa						48.818705969259504
84		Holy						48.816000930571775
85		Skylar						48.81564484946243
86		Sabino						48.71976816161861
87		jjcat00						48.663643629603754
88		Suke						48.585022290641774
89		Joa						48.53056466115121
90		Griseo						48.51080968277063
91		SoulHex						48.488425986360845
92		Idle						48.46874406631014
93		Tuatha						48.42380346671014
94		Cyrano						48.358674458302346
95		ZeroCulon						48.30479201404309
96		Eidolon						48.27918679933422
97		Lukitu						48.25979259572615
98		Bestia						48.23768946882454
99		Smile						48.172512684766346
100		Altair						48.134267643242474
101		Vortex						48.12300443911311
102		jojoseph						48.116031846813286
103		Capi						48.11038511185055
104		UR2SLOW						48.07909054445321
105		Kuro Dan						48.043874622528875
106		Skyjay						48.02568007011841
107		Aias						48.00060201203176
108		Nekokatsu						47.994357272687175
109		Ividal						47.99328874773635
110		Dust						47.99153638606813
111		PapaCharly						47.98095092947949
112		Oblivion129						47.97774708407199
113		Ultimate						47.96631872245065
114		LMB | TDC  | Peppagamer						47.933936262383945
115		ZAPO						47.91579621160025
116		Fire Emblem						47.879284648747216
117		Perezoso						47.8594282164556
118		Braixen						47.83009687672572
119		Arkangel						47.82013880531975
120		Aliluc						47.78992159534591
121		Trim						47.78769133122113
122		1->Ipu						47.7526995520841
123		7 Mun						47.739200130008626
124		CerroS						47.723605694710834
125		SENHOR LUKAO						47.72024981458047
126		Unexpected						47.691042094224336
127		AAAAAAAAAAAAAAAAAAAAAAAA						47.65459760255716
128		TNC | Nixul						47.64725533621264
129		BigBoss						47.555990227293556
130		Ampheras						47.548567039547244
131		LAO9						47.50014052576864
132		Iguana						47.4649451781929
133		Andrik						47.45677393730614
134		Darth						47.41767944535431
135		LadySander						47.41494078411265
136		OmegaVitor						47.402405748040046
137		Koopa						47.37819299038276
138		FeliaPunky						47.3718813001453
139		Discord						47.36680350059717
140		Hb2						47.35344561703199
141		Yellow						47.29887097232448
142		Ozyroth						47.25849272908445
143		Anality						47.25790217484857
144		Blues						47.240827509167524
145		Verse						47.181841288235624
146		Feraligatr						47.08193345874293
147		Dyasmond						47.07437684630163
148		Anthony cobra						47.07378231733092
149		Marshall						47.03870570814984
150		Ken						47.02872014561789
151		JohnY						47.02470477381938
152		Walachia						47.015376418125584
153		Keyths						46.98284958577996
154		Samwa						46.97358368385211
155		The Riddler						46.939751725922335
156		Gall						46.90599997728789
157		Midnight						46.882179709444095
158		Noire						46.86402584762856
159		LionHeart						46.85138508938504
160		d0pe						46.74366979344788
161		PPlatinum						46.725524757663486
162		Andreskies						46.70939738830472
163		Derek						46.68640863424148
164		supra						46.68135734220861
165		DIO						46.63574140172269
166		STARLEE						46.62309185753651
167		ramzaq						46.53053102623908
168		Dracoco						46.52026840351704
169		Bagno						46.47597350474523
170		Obelisk						46.47345791404855
171		CCPC						46.4630201920187
172		Shobs						46.45840153783262
173		mZuzek						46.445892944574794
174		Brew						46.434825071317135
175		SrJorjoroY						46.43349532462809
176		AlanDiss						46.41612219912707
