Lucios Black,,3E8D3CF8-619E-4F30-ABDA-2F1603D9A9D7,,,
,,,,,
Naruto,,62056341-627B-4086-BE00-4E8D944FE33A,,,
moisesplima,,DFFF2A73-2699-49AB-A3F7-8C7C7EB078FC,,,
Baymax,,2002286E-B7EB-4986-B62C-B517B71BE450,,,
Guidao | Eduarado,,49968ABA-EFBD-4447-BAE7-5E472833DBED,,,
Tigergui | TIGER_GUI,,E2BC13B9-E649-4C21-88F8-71950906A749,,,
Aniram,,5757099D-05FE-442C-80BC-1D8867E7304C,,,
Cash,,9F33465E-EB45-4983-83D2-029C64ABB27A,,,
Hime,,FFD898EA-A982-4CCA-978F-A013C612D028,,,
COMEDOR DE KSD | donotc0ntinue,,34CB4000-7214-41CA-9416-CADBE4EDC1BF,,,
USFZ | Carlos,,D39F8B6F-60D0-40CF-A068-1DABE0ECE275,,,
RCS | Armcz,,8B186776-C68D-48BF-979B-70858871EEA4,,,
Shalalaka,,5CF5AA78-1CC8-4A1F-ABF0-472B6522AE98,,,
NebrakaSF,,79439840-5698-4036-8024-54221940220C,,,
Langu,,9067B6E9-4DBE-46CA-9ED6-3FA8FA663841,,,
AdK | TakatoKurenai,,1072245F-71E4-426E-8E74-E861E02496CA,,https://twitter.com/TakatoKurenai,Charlotta
MCHfg,,09771C6A-8932-43D5-A59E-BEA032E8C951,,,
UCB Ramonstro,,A401BE40-977B-45B0-B2C7-BEEDE48DF66D,,,
Cyborg_RJ,,5DA4064F-A1ED-429A-A54F-0F553470D97A,,,
JeFFinN,,E7E4D997-BE22-47E3-A0CF-52EA3676D1CA,,,
TRT | xNightZero,,42D33530-BDAE-4BFB-AB0D-EB52881DD451,,,
DioRod,,9D30AC19-596E-49C0-9A12-6AF6EA547BCB,,,
Farofa Yoki | Lune,,B97A9ED8-9F85-44B5-9798-82BDE4AC60F7,,,
FSN | MattX,,2D5D45A6-7728-4FC9-80D2-9B2F425E6932,,,
Keito,,F83DAE24-5E5D-454D-8B7C-44F56841E028,,,
Fuu,,9C43B9DD-9804-4823-830E-43FEAF678764,,,
diew,,DAD2F417-A732-48A9-AA2D-5DF8AA74B0B0,,,
Koller,,348549F5-8A38-4D97-87BB-7E6F41A5FE2C,,,
Nick Okita,,335BBE27-397B-4066-B316-ACFCFCCA4156,,,
ozawa-nakai,,38159B05-077C-49FC-822C-0BC6E7B865D7,,,
UwU | Pejota,,,,,
MdT | Nuclear,,E8485E26-C7FC-4467-8CC6-459F4F2A9FBF,,,
GF | Mestrão,,93C9E7F7-527E-4D3B-A6EA-AF765DDAF9B0,,,
nico,,6D00FFDB-9696-4FC1-B899-744853B0CD2A,,,
Wlad,,07114E2C-1636-4E24-BB47-0799356EF6AD,,,
Neguinho,,0C051AA9-12EC-4934-BE54-9FA51F16CD25,,,
alexmachado,,EBB069A8-772D-418E-9962-522B96313DA5,,,
Wasf | Golden,,56C4A1F6-EF3B-413B-B194-49396D7D6744,,,
KMT | RaT3X,,79C37681-51C9-4A37-AE3F-A4DD0D99D25C,,,
ALoNe-DF,,0AD37547-4B97-4F98-A3C4-3BFBEBD767C0,,,
YoungTon,,3372A44A-CCC6-4088-AB7C-C9C08A1EA6C2,,,
-Zenith,,A19AFB52-5FF4-44A8-A3D5-E58BA8DACA17,,,
Jrcdz,,8C8B41E2-B945-450D-ADC5-93857170BED6,,,
Kobalt,,2BBC33A0-5661-47D9-9DCE-A3CB4C72ACFA,,,
BTr RJ,,CA6F70BA-3110-4E68-AB72-BB7D3653CF4A,,,
