Alpha,,,ssbudf:7BA202A7-DB17-48F6-BD5F-C316FC05AA47,,,"Jigglypuff
Young Link"
Alpsilva,,,pernambuco:704040DA-57F9-478B-999E-EEF491689952,,,
Alteron,,MS,"ligamscg:32B064E7-C77C-4403-A83B-2AEF764C62B8
prbth:3E5E88C4-D358-4F96-9238-68BA036C5CC8",,,"Mii Gunner
Diddy Kong
Rosalina And Luma
Bowser Jr
Mr Game And Watch"
Alves,,,"teamdashsp:17A54A8C-81A6-431D-A646-132C9B2E1F5B
prbth:DC0E5E6C-2C3F-40B3-AE1F-241A5BBA0D58",,,
Alvis,,,"smashrs2020:4F20822F-F8A8-4680-B876-A59A0FD601F6
prbth:C66FCCCF-2076-44B9-B3A0-BD00C73B1B0F",,,Snake
AMDS | 11115,,,homeonline:58E4F1A5-DA6D-46E4-8437-F869CCB14622,,,
AMDS | Bitola,,,homeonline:897A02FB-6CEA-40E5-8BBD-CCE09C40A17A,,,
AMDS | pepa,,SP,homeonline:14790C4B-518B-409C-A403-0D57FC3F35B1,,,
Amortax,WasF,RJ,"homeonline:8088E433-C056-4DE9-B1ED-7E3957655710
smashrj:D9DE4DBF-A45F-4BA5-AD35-3542933CA3F2
prbth:83C67646-893F-4FED-A429-73778A57851B",,https://twitter.com/Amortax1,"Yoshi
Bowser"
Ampheras,,,"homeonline:D58E29F8-5DE1-41D4-8009-3A0A30BA39BE
ssbudf:FAFA7AAF-9168-4C2B-A8F1-E8D34B25B1E0",,,Peach
Ana Carolina,,,pernambuco:FC1EFE45-73CA-47C9-A40B-28EA1C9A7B75,,,
and14488,,,homeonline:FF9B4D06-2CBA-45D2-BF42-84FEDE457EE1,,,
Anderson,,,tryhardlondrina:1589F884-69CB-4F21-9815-611FE3DFE929,,,Link
ANDRE108X,,,tryhardlondrina:B17E171F-0E45-47B0-91E8-9056A1AB6207,,,
Andrei,,,homeonline:CA729099-D33A-49BB-AC78-CFB308C177BD,,,
Andreskies,,SE,"homeonline:04DEA80D-DD29-415C-B389-D7D607BC181B
ssbuse:F2100F12-4634-4383-8C00-C5D745E9B348
prbth:2F0ABEC6-7CA1-4031-8E80-4E26DE6A42EA",,https://twitter.com/vyseskies1,"Palutena
Cloud
Young Link"
Andromeda,,,homeonline:720B9E49-5DEC-43B9-B2CC-4D5EBC4D92A2,,,
Andy,,,homeonline:31CF79D4-306B-40B2-B68C-03227A1F99DC,,,
AngolaSSB | Caja Hambrienta,,,homeonline:28DD4A85-A96E-4706-AFE9-E3818E39F479,,,
AnkhGod,,,homeonline:7E901521-37F6-4E85-BE9D-3BA5E458D6D9,,,
Anthony,,,"smashmanaus:8A6E8D37-15C9-477C-B1D9-5896A66FA8C7
prbth:4D361866-587D-43E1-B3F6-D4FF7220216D",,https://twitter.com/Lept_Anty,"Zero Suit Samus
Snake
Hero"
Antonio,,,"pernambuco:991F4863-2F76-4AF7-B95D-645EF1C1187D
prbth:0FAD3EE0-2325-4D63-AAB3-38E4243ADAA0",,,
Anubis570,,,"smashrj:57EE7B13-1A0D-4C9F-B2F5-0BF2C785E2C5
prbth:2F2A551E-9D27-43DA-BB56-A523A04C0837",,,"Joker
Shulk"
Apocay,,,ssbudf:2DE5A474-18FC-43B9-B515-74EADB7ED981,,,
AquinoAK,,AM,"homeonline:3D486F79-2309-4A44-ADB8-7F623D4B1D6C
prbth:4D331175-8B7C-45EB-959A-6A54B3D46F1C",,,
AquinoAK0,,,"homeonline:3D486F79-2309-4A44-ADB8-7F623D4B1D6C
prbth:4D331175-8B7C-45EB-959A-6A54B3D46F1C",,https://twitter.com/AquinoAK0,"Samus
Wolf"
Arcadian | JohnJG,,,homeonline:330AEB04-199F-4A76-9155-D15E4821B470,,,
Arch,,,"teamdashsp:BB9BC81A-1E05-4930-B5CE-46F6ED9C755E
prbth:B88F2A4D-1F72-4CD0-BF13-7929D67C96DE",,,Samus
Arma2,,,pernambuco:C76B744F-754B-4232-A29E-DF5D3A25F7C6,,,Palutena
Artemiz,,,homeonline:94EFE5D6-9F19-409A-B0C5-6D042E41D4FE,,,
arthursb,,,sucepr:F6E21A67-C3C2-400E-9EC8-96150981F92B,,,Ness
Artur,,,"homeonline:B7A1164C-9E86-47F3-9F55-D27F42E30E29
pernambuco:4F9FE6D1-770E-43EC-871F-A778A0E45B86",,,
Aru,,,"homeonline:3AB208A1-4E12-4326-A3D9-03AEE14AB1C4
sucepr:41027452-92E9-49CF-8D7B-9E23AA920132
prbth:810C895E-F453-477C-9850-C4F8B70D334A",,,"Pac Man
Bowser Jr"
ASLphoenix,,,homeonline:50AED341-02AB-4A9A-85C1-BA63A0FAD64A,,,
atom,,,homeonline:0403847E-D695-4403-A32D-72620C93BCE2,,,
AUG | 9mm Parabellum,,,homeonline:6C2900D6-2949-4247-908E-228983B03F50,,,
AUG | BonitaoDaVovo,,,homeonline:49AB4F6E-F8FB-4383-9A5A-E5E23720AF96,,,
AUG | Ferrantini,,,homeonline:4A0F25B5-FCC4-4E97-A0FA-1589C682ECAB,,,
Avuado,,,"tryhardlondrina:EC49F2A9-8A00-4095-BA1C-D46E5C4EB73B
prbth:2541FAE7-3E41-4F47-AEDF-17E6F5BFF166",,,"King K Rool
Incineroar"
AXelSMFF,,,homeonline:34388C5B-1392-44DB-ABF9-4077FAE709C1,,,
B0ST4,,,"sucepr:93F9810E-39FC-477F-AAFA-07BD5AE57521
prbth:936653EB-8B39-47C1-BC6A-634BB0BCBD81",,https://twitter.com/EsquizeeM,"Banjo-Kazooie
King Dedede
Palutena
Mega Man"
B3ngala,,,homeonline:0AE5B1A8-851B-4F0E-995C-2B9A51BC9C26,,,
Babu Santana,,,homeonline:95100890-E396-45BA-8C31-B71E284BAB96,,,
Bacabau,,,ssbudf:6ACF1D4B-4326-492B-A56A-B42C6A80945E,,,Luigi
Bacelar,,,"smashbelem:8ABADA5C-790F-42FB-90AA-101D220CB6F7
prbth:34273598-79B1-49A7-AF63-97267C505365",,,Pikachu
Bach,,,smashrj:D053B083-CD37-41C1-8F8B-6FE28C705A01,,,
Bagno,,,"pernambuco:698C48EE-7488-42EA-8C5B-B4FEA18A8578
prbth:B37B0D5C-8818-40B2-867A-DEC04DDB91ED",,https://twitter.com/MagnoDNA,"Chrom
Mario
Villager"
Bago,,,pernambuco:974D9355-CD57-4EDC-B323-B2E19E171DDB,,,Lucina
Bahia | DroiG64,,,homeonline:67EDD91A-7198-451E-AEBF-53D13400A2BF,,,
Bahia | Hollow,,,homeonline:602FC298-C750-4CF9-A9D3-31018851B154,,,
Bahia | Joan Acarajé,,,homeonline:5951E7A3-7106-4141-8469-4836398AD3DB,,,
Bahia | Mike da SWAT,,,homeonline:E88E9C13-EC8A-41BE-BFAA-8AD1862E705B,,,
Balas,,,homeonline:2886C19E-2133-402A-96CB-9CC36BE35BFD,,,
Baltar,,,sucepr:81135FB4-CE95-4D03-9772-A8D664666F31,,,
Bandana Dee,,,"pernambuco:F757FB0D-3F5C-4040-B81B-78E6F56BC747
prbth:7609F294-6DDA-4F8C-A5A3-02D789D856C0",,,
Banukai,STG,SP,homeonline:4DBCF347-0F20-43C3-877A-3A70905FDAF8,,https://twitter.com/Ultimate_Eros,Mii Gunner
Banze,DASH,SP,"homeonline:388AEBB0-16F1-44FF-A329-D1E18A46987F
teamdashsp:15E9AE28-A99C-417F-81FF-D3F19435389C
prbth:176CAEFA-0963-48E3-AE6F-4528B32E7370",Andre Luiz Almeida,https://twitter.com/BanzeBR,Kirby
Barba,,,ssbudf:A742CDCB-EA2B-4436-9221-EE943BFA2EA8,,,Rob
Batatinha,,,homeonline:6B451754-2D8A-49C9-9372-D2CA5DA22BD7,,,
Batuque | Agiota,,,homeonline:6FCFCE72-B4B3-4D06-972D-70E8551AFA21,,,
Batuque | ArtSaber,,,homeonline:B5EF9951-AB2D-4B7F-A2F7-C234C5DB288D,,,
Batuque | Giangrunge,,,homeonline:5E1E98B7-DB35-4958-AE42-2C8C7696E857,,,
Batuque | Peteka,,,homeonline:436204A6-9EFD-4E27-A796-BE206C7C0401,,,
Batuque | R2,,,homeonline:0A92DC66-B3AE-4B2D-8C1A-3D94C86B946D,,,
Bbrazils,,,homeonline:08BB0805-6D08-400B-B1A7-4EC839FBB1DC,,,
BC | Burtão BRABO,,,homeonline:3669F489-381F-4751-AD0F-DD003FC44B41,,,
BC | Fexta!,,,homeonline:97C6A321-7A0A-46B0-88E1-F90B829711B8,,,
